UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-06-27T19:15:56.6000+00:00,1519731062,-165,89,351,48,68,1,293,-85,49,N/A,N/A
2018-06-27T19:15:56.8510+00:00,1519731313,-106,127,477,-29,-92,-13,277,-79,63,N/A,N/A
2018-06-27T19:15:57.1020+00:00,1519731564,-209,197,507,-103,-183,-18,276,-78,42,N/A,N/A
2018-06-27T19:15:57.3530+00:00,1519731815,-83,109,505,-23,-191,-31,264,-78,34,N/A,N/A
2018-06-27T19:15:57.6040+00:00,1519732066,-65,136,556,-55,-42,-40,251,-71,43,N/A,N/A
2018-06-27T19:15:57.8540+00:00,1519732316,-32,145,556,-66,138,-37,258,-72,36,N/A,N/A
2018-06-27T19:15:58.1050+00:00,1519732567,-153,35,451,103,168,-28,282,-66,36,N/A,N/A
2018-06-27T19:15:58.3560+00:00,1519732818,-125,80,432,-7,57,-17,296,-64,32,N/A,N/A
2018-06-27T19:15:58.6050+00:00,1519733067,-114,87,424,65,-17,-24,290,-74,40,N/A,N/A
2018-06-27T19:15:58.8550+00:00,1519733317,-85,62,550,28,-94,-16,299,-75,45,N/A,N/A
2018-06-27T19:15:59.1060+00:00,1519733568,-124,74,497,59,-53,100,282,-84,54,N/A,N/A
2018-06-27T19:15:59.3580+00:00,1519733820,-93,154,510,-73,11,152,262,-90,34,N/A,N/A
2018-06-27T19:15:59.6080+00:00,1519734070,-25,152,548,-97,87,137,262,-76,36,N/A,N/A
2018-06-27T19:15:59.8590+00:00,1519734321,-254,203,631,-34,119,108,255,-63,29,N/A,N/A
2018-06-27T19:16:00.1000+00:00,1519734562,-108,107,401,8,47,90,248,-80,30,N/A,N/A
2018-06-27T19:16:00.3500+00:00,1519734812,-70,129,481,-37,-32,70,246,-78,34,N/A,N/A
2018-06-27T19:16:00.6010+00:00,1519735063,-268,172,417,-192,-59,75,231,-75,37,N/A,N/A
2018-06-27T19:16:00.8520+00:00,1519735314,-29,98,482,-92,-69,112,218,-60,14,N/A,N/A
2018-06-27T19:16:01.1010+00:00,1519735563,-40,88,541,2,20,172,206,-48,14,N/A,N/A
2018-06-27T19:16:01.3530+00:00,1519735815,-62,88,432,85,-7,213,181,-55,19,N/A,N/A
2018-06-27T19:16:01.6030+00:00,1519736065,-1,149,511,47,8,146,162,-46,24,N/A,N/A
2018-06-27T19:16:01.8540+00:00,1519736316,-108,181,616,-247,58,88,157,-43,25,N/A,N/A
2018-06-27T19:16:02.1020+00:00,1519736564,-114,128,527,-1,88,69,157,-29,13,N/A,N/A
2018-06-27T19:16:02.3530+00:00,1519736815,-76,89,530,-100,118,83,161,-25,7,N/A,N/A
2018-06-27T19:16:02.6030+00:00,1519737065,-124,31,393,-30,82,143,165,-17,-3,N/A,N/A
2018-06-27T19:16:02.8550+00:00,1519737317,-102,53,488,20,15,118,162,-8,-2,N/A,N/A
2018-06-27T19:16:03.1050+00:00,1519737567,-79,-40,525,-42,-15,145,151,1,3,N/A,N/A
2018-06-27T19:16:03.3550+00:00,1519737817,-107,-21,574,6,74,301,134,0,4,N/A,N/A
2018-06-27T19:16:03.6060+00:00,1519738068,-70,91,507,-94,120,420,120,26,-6,N/A,N/A
2018-06-27T19:16:03.8570+00:00,1519738319,-42,109,485,-80,115,485,107,55,-19,N/A,N/A
