UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-07-10T16:43:47.0240+00:00,695788392,1,-174,495,95,11,66,-124,180,96,N/A,N/A
2018-07-10T16:43:47.2750+00:00,695788643,36,-80,650,-22,8,149,-105,183,91,N/A,N/A
2018-07-10T16:43:47.5270+00:00,695788895,4,-92,513,1,-13,151,-103,179,75,N/A,N/A
2018-07-10T16:43:47.7770+00:00,695789145,-72,-106,469,41,-29,144,-93,193,87,N/A,N/A
2018-07-10T16:43:48.0300+00:00,695789397,63,12,387,-128,-60,51,-87,205,101,N/A,N/A
2018-07-10T16:43:48.2800+00:00,695789647,-44,-83,524,353,-71,-14,-102,194,90,N/A,N/A
2018-07-10T16:43:48.5300+00:00,695789897,115,-90,545,106,-17,-52,-109,195,93,N/A,N/A
2018-07-10T16:43:48.7800+00:00,695790147,58,-138,409,-189,-19,-118,-118,188,100,N/A,N/A
2018-07-10T16:43:49.0320+00:00,695790398,138,-143,681,-46,65,-144,-115,185,105,N/A,N/A
2018-07-10T16:43:49.2830+00:00,695790649,14,-84,431,75,34,-129,-133,179,95,N/A,N/A
2018-07-10T16:43:49.5340+00:00,695790900,63,-112,657,-19,40,-56,-133,161,103,N/A,N/A
2018-07-10T16:43:49.7850+00:00,695791151,14,-94,386,-59,35,-56,-125,163,95,N/A,N/A
2018-07-10T16:43:50.0260+00:00,695791392,2,-188,524,-165,5,-34,-131,173,101,N/A,N/A
2018-07-10T16:43:50.2770+00:00,695791642,68,-74,392,128,39,-57,-134,154,88,N/A,N/A
2018-07-10T16:43:50.5280+00:00,695791893,-32,-139,479,-59,-139,-63,-135,143,89,N/A,N/A
2018-07-10T16:43:50.7780+00:00,695792143,310,-98,484,283,-55,2,-149,141,97,N/A,N/A
2018-07-10T16:43:51.0280+00:00,695792393,118,-175,374,-6,-41,42,-151,137,101,N/A,N/A
2018-07-10T16:43:51.2780+00:00,695792643,227,-41,892,-62,103,87,-153,135,95,N/A,N/A
2018-07-10T16:43:51.5300+00:00,695792894,34,-110,399,45,56,73,-131,151,93,N/A,N/A
2018-07-10T16:43:51.7810+00:00,695793145,-6,-158,672,-149,0,112,-137,165,97,N/A,N/A
2018-07-10T16:43:52.0320+00:00,695793396,-12,-25,489,-64,-6,74,-121,149,85,N/A,N/A
2018-07-10T16:43:52.2820+00:00,695793646,29,-183,679,-147,15,81,-120,168,94,N/A,N/A
2018-07-10T16:43:52.5450+00:00,695793908,17,-91,392,94,-38,17,-127,175,87,N/A,N/A
2018-07-10T16:43:52.7860+00:00,695794149,-32,-184,547,1,-79,33,-128,170,92,N/A,N/A
2018-07-10T16:43:53.0370+00:00,695794400,127,-8,475,228,-33,13,-124,154,90,N/A,N/A
2018-07-10T16:43:53.2870+00:00,695794650,34,-69,499,-32,-54,-2,-130,158,96,N/A,N/A
2018-07-10T16:43:53.5380+00:00,695794901,103,6,461,23,22,-62,-136,166,98,N/A,N/A
